Device Name,Device ID,Date & Time [GMT],Date & Time [Local],Latitude,Longitude,Altitude,Fix Status,DOP,Temp [C],Main [V],Back [V]
HM06,87030,2021-04-15 18:00:35,2021-04-15 18:00:35,-47.2526864,-70.8649811,483.26,4 or more SV KF,1.2,16.0,3.85,0.00
HH02,87027,2021-04-15 18:21:15,2021-04-15 18:21:15,-47.2531197,-70.8643725,470.06,4 or more SV KF,4.6,19.5,3.80,0.00
HM03,87031,2021-04-15 18:43:33,2021-04-15 18:43:33,-47.2532428,-70.8648133,428.81,3-D least-squares,2.2,23.0,3.80,0.00
HH04,87028,2021-04-15 18:47:51,2021-04-15 18:47:51,-47.2533483,-70.8649753,471.09,3-D least-squares,1.2,15.5,3.80,0.00
HH05,87029,2021-04-15 18:51:04,2021-04-15 18:51:04,-47.2528075,-70.8656028,450.39,3-D least-squares,1.0,15.0,3.85,0.00
HH05,87029,2021-04-15 20:00:12,2021-04-15 20:00:12,-47.2528011,-70.8654956,464.67,4 or more SV KF,1.6,13.5,3.85,0.00
HM03,87031,2021-04-15 20:00:18,2021-04-15 20:00:18,-47.2533475,-70.8647344,483.43,4 or more SV KF,2.2,16.0,3.80,0.00
HH04,87028,2021-04-15 20:00:19,2021-04-15 20:00:19,-47.2533714,-70.8650292,468.69,4 or more SV KF,2.2,13.5,3.80,0.00
HM06,87030,2021-04-15 20:00:35,2021-04-15 20:00:35,-47.2526083,-70.8649883,462.69,4 or more SV KF,1.8,13.5,3.85,0.00
HH02,87027,2021-04-15 20:01:11,2021-04-15 20:01:11,-47.2547633,-70.8598203,0.24,2-D least-squares,8.6,14.0,0.00,0.00
HM03,87031,2021-04-15 21:09:04,2021-04-15 21:09:04,-47.2534547,-70.8644661,450.60,3-D least-squares,5.0,13.5,3.80,0.00
HM06,87030,2021-04-15 21:09:21,2021-04-15 21:09:21,-47.2528939,-70.8648872,451.05,4 or more SV KF,2.2,13.0,3.85,0.00
HH04,87028,2021-04-15 21:09:42,2021-04-15 21:09:42,-47.2533603,-70.8649944,456.22,4 or more SV KF,3.2,12.5,3.80,0.00
HH02,87027,2021-04-15 21:09:51,2021-04-15 21:09:51,,,,0,0.0,13.0,3.80,0.00
