Id,Jurisdicci,area.prot,Especie,Fecha,Altitud,Localidad,Ambiente,Estado,Uso,Cantidad,Rastros,y,id_General,origen_SIB,mes,Periodo,yshort,coordX,coordY
1023,PNLG,Parque Nacional Los Glaciares,HUEMUL,24/10/2013,221,"<p>Estancia Nibepo Aike, jurisdicci&oacute;n Seccional Lago Roca</p>",<p>Ecotonal abierto con matorral de ca&ntilde;afate y &ntilde;ires de 15 m. de altura</p>,Regular,<p>Ganadero</p>,1,,2013,412,Glaciares,10,primavera,13,661080.8379,4403315.884
1244,SANTA CRUZ,,HUEMUL,23/12/2014,270,"Ladera norte del Brazo Rico, Lago Argentino, a 4,8 km al Este del frente del Glaciar P. Moreno",Ladera con bosque abierto de lenga,Regular,"Ganader¡a, turismo, hoster¡as, campamentos, camino vehicular",1,,2014,526,Glaciares,12,primavera,14,644114.7697,4406073.103
159,SANTA CRUZ,,HUEMUL,19/01/2013,605,"Valle del R?o Guanaco, 28,5 km al Este de Laguna Azul, Prov. de Santa Cruz","Estepa, coirones, con presencia de calafate y mata negra.",Pastoreado,Estancias privadas. Pastoreo leve de ganado.,1,,2013,2019,monumento,1,verano,13,678617.2101,4469880.644
1497,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/12/2015,620,"Ladera sur del r¡o Moyano, 1,5 km al sur - SO del extremo oeste del Canal Moyano","Ladera de pendiente pronunciada con bosque bajo y abierto de lenga, suelo rocoso-pedregoso con presencia de derrumbes",Muy bueno,"Turismo escaso, sendero",2,,2015,722,Glaciares,12,primavera,15,640647.6952,4491137.8
920,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/04/2013,500,"Ladera Norte del Cerro Moyano, a 1 Km de Laguna Verde",Bosque de lenga,Muy bueno,"Conservaci¢n, turismo en muy baja escala",1,,2013,381,Glaciares,4,oto¤o,13,636906.1541,4491271.56
1225,PNLG,Parque Nacional Los Glaciares,HUEMUL,22/03/2014,590,"Ladera Sur del R¡o Moyano, 1,6 km al Oeste de la desembocadura en el Seno Moyano","Ladera con pendiente pronunciada. Bosque de lenga abierto y matorral de arbustivas, le¤a dura y renovales de lenga. Sectores rocosos, exposici¢n Norte.",Muy bueno,"Turismo escaso, senderoÿ",1,,2014,510,Glaciares,3,verano,14,639788.8609,4491873.117
732,PNLG,Parque Nacional Los Glaciares,HUEMUL,21/04/2012,389,"ÿLaguna Verde, Oeste Seno Moyano.",ÿMorena glaciaria con suelo pedregoso y manchones de bosque de lenga.,,,3,,2012,259,Glaciares,4,oto¤o,12,636983.8461,4491975.97
1221,PNLG,Parque Nacional Los Glaciares,HUEMUL,20/03/2014,370,Morena frontal de Laguna Moyano,"Morena, suelo pedregoso la ladera que mira a la laguna y bosque de lenga maduro, bajo y abierto del lado Este de la morena, con exposici¢n mayormente NE; con pastizal, herb ceas y arbustivas, romerillo, escalonia, le¤a dura, notro, cacho de cabra. Lag",Muy bueno,"Ninguno, sin ganado desde hace unos 30 a¤os",3,"Huellas Bosteo Ramoneo, marca en vegetaci¢n",2014,506,Glaciares,3,verano,14,637300.6847,4492351.723
1641,PNLG,Parque Nacional Los Glaciares,HUEMUL,9/04/2016,373,"Ladera oriental de la morena frontal de Laguna Verde, fondo del Seno Moyano","Bosque de lenga sobre morena, con herb ceas y arbustivas, notro, chaura. Pendiente moderada.",Muy bueno,En el lugar ninguno. Sendero de turismo a m s de 1 km ladera arriba,1,Huellas Bosteo,2016,865,Glaciares,4,oto¤o,16,637531.2094,4492423.741
1642,PNLG,Parque Nacional Los Glaciares,HUEMUL,9/04/2016,370,"Sector superior de la morena terminal de Laguna Verde, fondo del Seno Moyano",Morena con algunas herb ceas dispersas pero mayormente con suelo pedregoso desnudo.,Muy bueno,En el sector ninguno. Sendero para turismo a casi 2 km ladera arriba,2,,2016,866,Glaciares,4,oto¤o,16,637276.231,4492496.956
1174,PNLG,Parque Nacional Los Glaciares,HUEMUL,25/02/2014,380,"Ladera SE del Seno Moyano, 1,5 km antes del fondo del Seno.","Ladera de pendiente moderada con ¤ire y matorral, chaura, siete camisas, neneo. Rocas y roquedales grandes, ca¤adones con mucha vegetaci¢n",Bueno,"Turismo, sendero",2,,2014,467,Glaciares,2,verano,14,642882.9089,4493100.582
1140,PNLG,Parque Nacional Los Glaciares,HUEMUL,4/11/2013,483,Entre el Arroyo de Los Gatos y la Laguna del Aserradero,,Bueno,Ocasionalmente trekking,1,,2013,451,Glaciares,11,primavera,13,645395.9983,4494812.542
916,PNLG,Parque Nacional Los Glaciares,HUEMUL,19/04/2013,400,"Ladera Sur del Seno Moyano, 1 km al Oeste de la Laguna del Aserradero","Ladera de pendiente pronunciada, exposici¢n Norte. Suelo rocoso con matorral, mait‚n, notro, coironales, chapel, siete camisas, Valeriana.",Bueno,Turismo escaso.,1,,2013,377,Glaciares,4,oto¤o,13,643520.9038,4495120.621
622,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/08/2010,250,"Costa Oeste del Lago Viedma, a metros de la naciente delÿCanal Moyano, cercan¡as del Puesto",,,Reserva Natural Estricta. Presencia de lagunos caballos baguales.,2,,2010,234,Glaciares,8,invierno,10,652467.7881,4498367.419
769,PNLG,Parque Nacional Los Glaciares,HUEMUL,12/01/1997,650,"Ladera Oeste del Lago Viedma, zona Moyano, a 700 metros al Norte del Canal Moyano",Matorral con roquedales. Bosque de lenga,Muy bueno,Reserva Natural Estricta.Permanencia de una tropilla de caballos baguales en zonas bajas.,2,Huellas Bosteo,1997,293,Glaciares,1,verano,97,650564.9061,4498544.056
111,PNLG,Parque Nacional Los Glaciares,HUEMUL,29/11/2003,0,Ladera del Puesto Moyano,Arbustal bajo,,,1,"Huellas Bosteo Pelos, sendero",2003,19,Glaciares,11,primavera,3,650965.4283,4498763.217
108,PNLG,Parque Nacional Los Glaciares,HUEMUL,26/11/2003,0,Ladera del Puesto Moyano,"Bosque de lenga abierto, con arbustos, le¤a dura y notro",,Equinos,1,,2003,16,Glaciares,11,primavera,3,650514.7256,4499052.755
107,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/11/2003,0,"Ladera del Puesto Moyano, 900 m s.n.m.","Pendiente pronunciada, arbustal bajo abierto con neneo y lengas aisladas",Quemado viejo,,2,,2003,15,Glaciares,11,primavera,3,650147.897,4499137.457
919,PNLG,Parque Nacional Los Glaciares,HUEMUL,30/04/2013,600,"Cerro Mascarello, faldeo de exposici¢n Este",Bosque de lenga abierto y con grandes manchones s¢lo con arbustos,Muy bueno,Reserva Natural Estricta,1,,2013,380,Glaciares,4,oto¤o,13,650590.5559,4499181.928
