Id,Jurisdicci,area prot,Especie,Fecha,Laterror,Longerror,Latform,Longform,Latitud,Longitud,Altitud,Localidad,Ambiente,Estado,Uso,Cantidad,Rastros,y,id_General,origen_SIB,mes ,Periodo
1023,PNLG,Parque Nacional Los Glaciares,HUEMUL,24/10/2013,-5049995,-7272862,-50.49995,-72.72862,-50.49995,-72.72862,221,"<p>Estancia Nibepo Aike, jurisdicci&oacute;n Seccional Lago Roca</p>",<p>Ecotonal abierto con matorral de ca&ntilde;afate y &ntilde;ires de 15 m. de altura</p>,Regular,<p>Ganadero</p>,1,,2013,412,Glaciares,10,primavera
1244,SANTA CRUZ,,HUEMUL,23/12/2014,-5047959,-7296875,-50.47959,-72.96875,-50.47959,-72.96875,270,"Ladera norte del Brazo Rico, Lago Argentino, a 4,8 km al Este del frente del Glaciar P. Moreno",Ladera con bosque abierto de lenga,Regular,"Ganader¡a, turismo, hoster¡as, campamentos, camino vehicular",1,,2014,526,Glaciares,12,primavera
1175,SANTA CRUZ,,HUEMUL,1/05/2014,-5032198,-7279436,-50.32198,-72.79436,-50.32198,-72.79436,0,Los Glaciares,,,,0,,2014,468,Glaciares,5,oto¤o
119,SANTA CRUZ,,HUEMUL,26/11/2004,-4993149,-7259967,-49.93149,-72.59967,-49.93149,-72.59967,260,"Bah?a Mackenna, borde Sur del arroyo que entra en la bah?a, Ea. El C?ndor, Prov. de Santa Cruz.",Playa de lago y arroyo.,,Ganader?a,0,Huellas,2004,1983,monumento,11,primavera
159,SANTA CRUZ,,HUEMUL,19/01/2013,-4989677,-7251287,-49.89677,-72.51287,-49.89677,-72.51287,605,"Valle del R?o Guanaco, 28,5 km al Este de Laguna Azul, Prov. de Santa Cruz","Estepa, coirones, con presencia de calafate y mata negra.",Pastoreado,Estancias privadas. Pastoreo leve de ganado.,1,,2013,2019,monumento,1,verano
1173,PNLG,Parque Nacional Los Glaciares,HUEMUL,26/02/2014,-4971986,-7306445,-49.71986,-73.06445,-49.71986,-73.06445,600,"Ladera Sur del R¡o Moyano, 3 km al Sudeste de la Laguna Moyano","Ladera de exposcici¢n S-SO,  rea mallinosa con bosque de lengas. Suelo h£medo de limo y grava",Bueno,"Turismo, traves¡a Moyano a Ea. Cristina",0,Huellas,2014,466,Glaciares,2,verano
2637,PNLG,Parque Nacional Los Glaciares,HUEMUL,18/03/2019,-4971861,-7311274,-49.71861,-73.11274,-49.71861,-73.11274,0,Fondo Seno Moyano - Zona Centro PNLG,Bosque de lenga abierto,Bueno,Conservaci¢n,0,Bosteo,2019,1725,Glaciares,3,verano
1497,PNLG,Parque Nacional Los Glaciares,HUEMUL,11/12/2015,-4971582,-730489,-49.71582,-73.0489,-49.71582,-73.0489,620,"Ladera sur del r¡o Moyano, 1,5 km al sur - SO del extremo oeste del Canal Moyano","Ladera de pendiente pronunciada con bosque bajo y abierto de lenga, suelo rocoso-pedregoso con presencia de derrumbes",Muy bueno,"Turismo escaso, sendero",2,,2015,722,Glaciares,12,primavera
920,PNLG,Parque Nacional Los Glaciares,HUEMUL,27/04/2013,-4971548,-7310082,-49.71548,-73.10082,-49.71548,-73.10082,500,"Ladera Norte del Cerro Moyano, a 1 Km de Laguna Verde",Bosque de lenga,Muy bueno,"Conservaci¢n, turismo en muy baja escala",1,,2013,381,Glaciares,4,oto¤o
736,PNLG,Parque Nacional Los Glaciares,HUEMUL,15/12/2011,-4971548,-7310082,-49.71548,-73.10082,-49.71548,-73.10082,510,"Extremo Oeste del Seno Moyano, sobre ladera Este del Cerro Moyano, arriba deÿLaguna Verde.","Bosque de lenga, con mait‚n magellanico y notro. Exposici¢n Este.",Muy bueno,,0,"Huellas Bosteo Senderos, ramoneo",2011,263,Glaciares,12,primavera
