Lugar,Transecta,fecha,dist,fecastot,fecasnue,fecasvie,NMI,ramoneos,marcas,avistaje,pelo,fecas/dist,,,
Polo,,20/08/2014,NA,15,0,15,3,1,0,0,0,NA,,,
Polo,,2/03/2015,2.8,32,1,31,1,4,1,0,0,11.42857143,,,
Polo,,1/10/2015,2.7,22,0,22,1,0,0,0,0,8.148148148,,,
Polo,,28/03/2016,3,14,2,12,2,0,2,0,0,4.666666667,,,
Polo,,14/09/2016,2.24,23,0,23,1,2,1,0,0,10.26785714,,,
Polo,,30/03/2017,1.3,18,4,14,3,0,1,0,0,13.84615385,,,
Polo,,1/11/2017,1.3,5,2,3,3,0,1,0,0,3.846153846,,,
Polo,,14/11/2018,1.1,17,1,16,4,1,0,0,0,15.45454545,,,
Polo,,20/11/2019,1.3,31,10,21,1,2,0,0,0,23.84615385,,,
Polo,,18/11/2020,1.2,8,0,8,1,0,0,0,0,6.666666667,,,
Polo,,17/11/2021,0.6,15,0,15,1,0,0,0,0,25,,,
Huemul,,30/12/2014,3.92,18,0,18,2,1,0,0,0,4.591836735,,,
Huemul,recorrida,28/12/2015,NA,20,4,16,1,2,0,0,0,NA,,,
Huemul,T1,29/12/2015,2.3,12,0,12,2,2,1,0,0,5.217391304,,,
Huemul,T2,29/12/2015,2.3,13,0,13,2,0,0,0,0,5.652173913,,,
Huemul,,18/06/2015,2.4,23,1,22,2,0,0,0,0,9.583333333,,,
Huemul,,9/06/2016,1.4,5,1,4,4,1,0,1,0,3.571428571,,,
Huemul,,22/06/2017,1.1,4,4,0,1,3,0,0,0,3.636363636,,,
Huemul,,10/01/2018,1.4,10,0,10,1,1,0,0,0,7.142857143,,,
Huemul,,9/01/2019,1.7,22,1,21,3,1,1,0,0,12.94117647,,,
Huemul,,16/01/2020,1.7,44,1,43,4,2,9,0,0,25.88235294,,,
Huemul,,14/01/2021,1.15,26,0,26,1,0,1,1,0,22.60869565,,,
Mascarello,MascarelloG1,19/04/2014,NA,3,0,3,0,0,0,0,0,#¡DIV/0!,,,
Mascarello,LagunaMoyanoG1,20/04/2014,NA,25,9,16,0,0,1,0,0,#¡DIV/0!,,,
Mascarello,MascarelloG2,19/04/2014,NA,6,0,6,0,0,0,0,0,#¡DIV/0!,,,
Mascarello,LagunaMoyanoG2,20/04/2014,NA,10,1,9,0,1,2,0,0,#¡DIV/0!,,,
Mascarello,MascarelloG3,19/04/2014,NA,0,0,0,1,1,0,0,0,#¡DIV/0!,,,
Mascarello,LagunaMoyanoG3,20/04/2014,NA,18,7,11,1,1,0,0,0,#¡DIV/0!,,,
Mascarello,LagunaMoyanoG3b,20/04/2014,NA,18,2,16,0,2,2,0,0,#¡DIV/0!,,,
Mascarello,MascarelloG4,19/04/2014,NA,0,0,0,0,0,0,0,0,#¡DIV/0!,,,
Mascarello,LagunaMoyanoG4,20/04/2014,NA,8,2,6,0,0,0,1,0,#¡DIV/0!,,,
Mascarello,LagunaMoyanoG1,16/04/2015,3.3,NA,NA,NA,NA,NA,NA,0,0,#¡VALOR!,,,
Mascarello,BajoLagunaAserraderoG1,17/04/2015,1.5,NA,NA,NA,NA,NA,NA,0,0,#¡VALOR!,,,
Mascarello,LagunaMoyanoG2,16/04/2015,4.5,26,4,22,0,1,2,0,0,5.777777778,,,
Mascarello,BajoLagunaAserraderoG2,17/04/2015,2.7,12,1,11,1,0,0,0,0,4.444444444,,,
Mascarello,LagunaMoyanoG3,16/04/2015,4.4,16,0,16,2,4,1,0,0,3.636363636,,,
Mascarello,BajoLagunaAserraderoG3,17/04/2015,3.4,21,1,20,1,4,0,0,0,6.176470588,,,
Mascarello,LagunaMoyanoG4,16/04/2015,NA,17,4,13,0,4,1,0,0,#¡VALOR!,,,
Mascarello,BajoLagunaAserraderoG4,17/04/2015,NA,6,3,3,1,1,0,0,0,#¡VALOR!,,,
Mascarello,FaldeoEsteG1,26/04/2017,NA,29,0,29,1,0,0,0,0,#¡VALOR!,,,
Mascarello,FaldeoSurG1,27/04/2017,1.8,0,0,0,0,0,0,0,0,0,,,
Mascarello,FaldeoEsteG2,26/04/2017,2.9,17,3,14,2,0,0,0,0,5.862068966,,,
Mascarello,FaldeoSurG2,27/04/2017,NA,0,0,0,0,0,0,0,0,#¡VALOR!,,,
Mascarello,FaldeoEsteG3,26/04/2017,NA,16,0,16,0,0,1,0,1,#¡VALOR!,,,
Mascarello,SenoMoyanoG1,25/08/2018,2.1,13,3,10,0,2,1,0,0,6.19047619,,,
Mascarello,SenoMoyanoG2,25/08/2018,1,15,4,11,1,5,0,0,0,15,,,
Mascarello,SenoMoyanoG3,25/08/2018,2.4,19,5,14,1,1,0,0,0,7.916666667,,,
Mascarello,CordonMascarelloCaraEsteG1,14/04/2019,NA,18,5,13,0,3,0,0,0,#¡VALOR!,,,
Mascarello,CordonMascarelloCaraEsteG2,14/04/2019,NA,27,1,26,1,1,1,0,0,#¡VALOR!,,,
Mascarello,CordonMascarelloCaraEsteG3,14/04/2019,NA,18,0,18,1,0,1,0,0,#¡VALOR!,,,
Mascarello,SenoMoyanoT1,30/04/2021,2.09,86,24,62,1,2,0,0,0,41.14832536,,,
Mascarello,FondoSenoMoyanoT2,1/05/2021,3.18,42,19,23,0,2,1,0,0,13.20754717,,,
Mascarello,FondoSenoMoyanoT3,1/05/2021,4.22,22,11,11,1,6,14,0,0,5.213270142,,,
Mascarello,T4,2/05/2021,1.39,19,1,18,0,2,0,0,0,13.66906475,,,
